4 3 1 .EEGGGDD....AA..I.FFF.I.H.C.BBH.C... I99 H99 F98
4 3 1 .EEGGGDD..I.AA..I.FFF...H.CBB.H.C... H99 F98 B99
4 3 1 .EEGGGDD..I.AA..I...CFFFH.C.BBH..... H99 F99 C99
4 3 1 .EEGGGDD..I.AA..I....FFFH.CBB.H.C... H99 F99 B99
4 3 1 .EEGGG...DD.AA..I.HFFFI.H.C.BB..C... D97 I99 F99
4 3 1 .EEGGG....DDAA..I.HFFFI.H.C.BB..C... D96 I99 F99
4 3 1 .EEGGGDD....AA..I.HFFFI.H.CBB...C... I99 F99 B99
4 3 1 .EEGGGDD..I.AA..I.H.CFFFH.CBB....... F99 C99 B99
5 3 2 EE.GGGDD..I.AAC.I.H.CFFFH...BB...... E99 F99 C98
5 3 2 EE.GGGDDC.I.AAC.I.H..FFFH...BB...... E99 F99 C97
5 3 2 .EEGGG.DD.I.AAC.I.H.CFFFH...BB...... D99 F99 C98
5 3 2 .EEGGG..DDI.AAC.I.H.CFFFH...BB...... D98 F99 C98
5 3 2 .EEGGGDD..I.AAC.I...CFFFH...BBH..... H99 F99 C98
5 3 2 .EEGGGDDC.I.AAC.I....FFFH...BBH..... H99 F99 C97
5 3 2 .EEGGGDD..I.AAC.I.H.CFFFH..BB....... F99 C98 B99
5 3 2 .EEGGGDDC.I.AAC.I.H..FFFH..BB....... F99 C97 B99
5 3 2 .EEGGGDD..I.AAC.I.H.CFFFH.BB........ F99 C98 B98
5 3 2 .EEGGGDD..I.AAC.I.H.CFFFHBB......... F99 C98 B97
5 3 2 .EEGGGDDC.I.AAC.I.H.FFF.H...BB...... F98 C97
5 3 2 .EEGGGDDC.I.AAC.I.HFFF..H...BB...... F97 C97
5 3 2 .EEGGGDDC.I.AAC.I.H..FFFH.BB........ F99 C97 B98
5 3 2 .EEGGGDDC.I.AAC.I.H..FFFHBB......... F99 C97 B97
5 4 1 EEGGG..DD.I..AA.I.H.FFF.H.C.BB..C... E99 G99 D99 A99
5 4 1 EEGGG..DD.I...AAI.H.FFF.H.C.BB..C... E99 G99 D99 A98
