3 3 0 ..CCHHG.FFE.GAA.E.GBBB....D.II..D... A99 G98 B99
3 3 0 ..CCHHG.FFE.GAA.E.G..BBB..D.II..D... A99 G98 B99
3 3 0 ..CCHHG.FFE.GAA.E.G.BBB...DII...D... A99 G98 I99
3 3 0 G.CCHHG.FFE.GAA.E..BBB....D.II..D... A99 G97 B99
3 3 0 G.CCHHG.FFE.GAA.E.BBB.....D.II..D... A99 G97 B98
3 3 0 G.CCHHG.FFE.GAA.E....BBB..D.II..D... A99 G97 B99
3 3 0 G.CCHHG.FFE.GAA.E...BBB...DII...D... A99 G97 I99
3 3 0 ..CCHH..FF...AA.E.GBBBE.G.D.IIG.D... E99 A99 B99
3 3 0 ..CCHH..FFE..AA.E.GBBB..G.DII.G.D... A99 B99 I99
3 3 0 ..CCHH..FFE..AA.E.G.DBBBG.D.IIG..... A99 B99 D99
3 3 0 ..CCHH..FFE..AA.E.G..BBBG.DII.G.D... A99 B99 I99
3 3 0 ..CCHH..FFE.G.AAE.GBBB..G.D.II..D... A98 G99 B99
3 3 0 ..CCHH..FFE.G.AAE.G..BBBG.D.II..D... A98 G99 B99
3 3 0 ..CCHH..FFE.G.AAE.G.BBB.G.DII...D... A98 G99 I99
3 3 0 ..CCHHG.FFE.G.AAE.GBBB....D.II..D... A98 G98 B99
3 3 0 ..CCHHG.FFE.G.AAE.G..BBB..D.II..D... A98 G98 B99
3 3 0 ..CCHHG.FFE.G.AAE.G.BBB...DII...D... A98 G98 I99
3 3 0 G.CCHHG.FFE.G.AAE..BBB....D.II..D... A98 G97 B99
3 3 0 G.CCHHG.FFE.G.AAE.BBB.....D.II..D... A98 G97 B98
3 3 0 G.CCHHG.FFE.G.AAE....BBB..D.II..D... A98 G97 B99
3 3 0 G.CCHHG.FFE.G.AAE...BBB...DII...D... A98 G97 I99
3 3 0 ..CCHH..FF....AAE.GBBBE.G.D.IIG.D... E99 A98 B99
3 3 0 ..CCHH..FFE...AAE.GBBB..G.DII.G.D... A98 B99 I99
3 3 0 ..CCHH..FFE...AAE.G.DBBBG.D.IIG..... A98 B99 D99
3 3 0 ..CCHH..FFE...AAE.G..BBBG.DII.G.D... A98 B99 I99
3 3 0 ..CCHH...FF.AA..E.GBBBE.G.D.IIG.D... F99 E99 B99
3 3 0 ..CCHH....FFAA..E.GBBBE.G.D.IIG.D... F98 E99 B99
3 3 0 ..CCHH..FF..AA..E.GBBBE.G.DII.G.D... E99 B99 I99
3 3 0 ..CCHH..FFE.AA..E.G.DBBBG.DII.G..... B99 D99 I99
3 3 0 ..CCHH..FFE.AAD.E.G.DBBBG..II.G..... B99 D98 I99
3 3 0 ..CCHH..FFE.AAD.E.G.DBBBG.II..G..... B99 D98 I98
3 3 0 ..CCHH..FFE.AAD.E.G.DBBBGII...G..... B99 D98 I97
4 4 0 .CCHH..FF.E..AA.E.G.BBB.G.D.IIG.D... C99 H99 F99 A99
4 4 0 .CCHH..FF.E...AAE.G.BBB.G.D.IIG.D... C99 H99 F99 A98
4 4 0 .CCHH..FF.E.AA..E.GBBB..G.D.IIG.D... C99 H99 F99 B99
4 4 0 .CCHH..FF.E.AA..E.G..BBBG.D.IIG.D... C99 H99 F99 B99
4 4 0 .CCHH..FF.E.AA..E.G.BBB.G.DII.G.D... C99 H99 F99 I99
4 4 0 .CCHH.FF..E..AA.E.G.BBB.G.D.IIG.D... C99 H99 F98 A99
4 4 0 .CCHH.FF..E...AAE.G.BBB.G.D.IIG.D... C99 H99 F98 A98
4 4 0 .CCHH.FF..E.AA..E.GBBB..G.D.IIG.D... C99 H99 F98 B99
4 4 0 .CCHH.FF..E.AA..E.G..BBBG.D.IIG.D... C99 H99 F98 B99
4 4 0 .CCHH.FF..E.AA..E.G.BBB.G.DII.G.D... C99 H99 F98 I99
4 4 0 .CCHH...FFE.GAA.E.G.BBB.G.D.II..D... C99 H99 A99 G99
4 4 0 .CCHH.G.FFE.GAA.E.G.BBB...D.II..D... C99 H99 A99 G98
4 4 0 GCCHH.G.FFE.GAA.E...BBB...D.II..D... C99 H99 A99 G97
4 4 0 .CCHH...FFE..AA.E.GBBB..G.D.IIG.D... C99 H99 A99 B99
4 4 0 .CCHH...FFE..AA.E.G..BBBG.D.IIG.D... C99 H99 A99 B99
4 4 0 .CCHH...FFE..AA.E.G.BBB.G.DII.G.D... C99 H99 A99 I99
4 4 0 .CCHH...FFE.G.AAE.G.BBB.G.D.II..D... C99 H99 A98 G99
4 4 0 .CCHH.G.FFE.G.AAE.G.BBB...D.II..D... C99 H99 A98 G98
4 4 0 GCCHH.G.FFE.G.AAE...BBB...D.II..D... C99 H99 A98 G97
4 4 0 .CCHH...FFE...AAE.GBBB..G.D.IIG.D... C99 H99 A98 B99
4 4 0 .CCHH...FFE...AAE.G..BBBG.D.IIG.D... C99 H99 A98 B99
4 4 0 .CCHH...FFE...AAE.G.BBB.G.DII.G.D... C99 H99 A98 I99
4 4 0 .CCHH...FF..AA..E.GBBBE.G.D.IIG.D... C99 H99 E99 B99
4 4 0 .CCHH...FFE.AA..E.GBBB..G.DII.G.D... C99 H99 B99 I99
4 4 0 .CCHH...FFE.AA..E.G.DBBBG.D.IIG..... C99 H99 B99 D99
4 4 0 .CCHH...FFE.AAD.E.G.DBBBG...IIG..... C99 H99 B99 D98
4 4 0 .CCHH...FFE.AA..E.G..BBBG.DII.G.D... C99 H99 B99 I99
4 4 0 .CC.HH.FF.E.GAA.E.G.BBB.G.D.II..D... C99 F99 A99 G99
4 4 0 .CC.HHGFF.E.GAA.E.G.BBB...D.II..D... C99 F99 A99 G98
4 4 0 GCC.HHGFF.E.GAA.E...BBB...D.II..D... C99 F99 A99 G97
4 4 0 .CC.HH.FF.E..AA.E.GBBB..G.D.IIG.D... C99 F99 A99 B99
4 4 0 .CC.HH.FF.E..AA.E.G..BBBG.D.IIG.D... C99 F99 A99 B99
4 4 0 .CC.HH.FF.E..AA.E.G.BBB.G.DII.G.D... C99 F99 A99 I99
4 4 0 .CC.HH.FF.E.G.AAE.G.BBB.G.D.II..D... C99 F99 A98 G99
4 4 0 .CC.HHGFF.E.G.AAE.G.BBB...D.II..D... C99 F99 A98 G98
4 4 0 GCC.HHGFF.E.G.AAE...BBB...D.II..D... C99 F99 A98 G97
4 4 0 .CC.HH.FF.E...AAE.GBBB..G.D.IIG.D... C99 F99 A98 B99
4 4 0 .CC.HH.FF.E...AAE.G..BBBG.D.IIG.D... C99 F99 A98 B99
4 4 0 .CC.HH.FF.E...AAE.G.BBB.G.DII.G.D... C99 F99 A98 I99
4 4 0 .CC.HH.FF...AA..E.GBBBE.G.D.IIG.D... C99 F99 E99 B99
4 4 0 .CC.HH.FF.E.AA..E.GBBB..G.DII.G.D... C99 F99 B99 I99
4 4 0 .CC.HH.FF.E.AA..E.G.DBBBG.D.IIG..... C99 F99 B99 D99
4 4 0 .CC.HH.FF.E.AAD.E.G.DBBBG...IIG..... C99 F99 B99 D98
4 4 0 .CC.HH.FF.E.AA..E.G..BBBG.DII.G.D... C99 F99 B99 I99
