1 4 1 DF.EEEDF..C...AAC....BBBG.H.I.G.H.I. H96 F99 A96
1 4 1 DF.EEEDF..C.AA..C...BBB.G.H.I.G.H.I. H96 F99 A98 B99
1 4 1 DF.EEEDF..C.AA..C..BBB..G.H.I.G.H.I. H96 F99 A98 B98
1 4 1 DF.EEEDF..C.AA..C.BBB...G.H.I.G.H.I. H96 F99 A98 B97
1 4 1 DF.EEEDF..C.AA..C.G..BBBG.H.I...H.I. H96 F99 A98 G99
1 4 1 DFHEEEDFH.C.AA..C.G.BBB.G...I.....I. F99 A98 B99 G99
1 4 1 DFHEEEDFH...AA..C..BBBC.G...I.G...I. F99 C99 A98 B98
1 4 1 DFHEEEDFH.C.AA..C.GBBB..G...I.....I. F99 A98 B98 G99
1 4 1 DFHEEEDFH.C.AA..C..BBBI.G...I.G..... F99 A98 B98 I99
1 4 1 DFHEEEDFH...AA..C.BBB.C.G...I.G...I. F99 C99 A98 B97
1 4 1 DFHEEEDFH.C.AA..C.BBB.I.G...I.G..... F99 A98 B97 I99
1 4 1 DFHEEEDFH.....AAC.GBBBC.G...I.....I. F99 C99 B98 G99
1 4 1 DFHEEEDFH...G.AAC.GBBBC.....I.....I. F99 C99 B98 G98
1 4 1 DFHEEEDFH.C...AAC.GBBBI.G...I....... F99 B98 G99 I99
1 4 1 DFHEEEDFH.C.G.AAC.GBBBI.....I....... F99 B98 G98 I99
1 4 1 D.HEEED.H.C..AA.C.GFBBB.GF..I.....I. F98 A99 B99 G99
1 4 1 D.HEEED.H.C.GAA.C.GFBBB..F..I.....I. F98 A99 B99 G98
1 4 1 D.EEE.D...C.AA..C..FHBBBGFH.I.G...I. H97 E99 F98 A98
1 4 1 DEEE..D...C.AA..C..FHBBBGFH.I.G...I. H97 E98 F98 A98
0 5 0 DEEEC.D...C.AA.....FHBBBGFH.I.G...I. H97 E98 F98 C99 A98
0 6 0 DEEEC.D...C.AA.....F.BBBGFH.I.G.H.I. H96 E98 F98 C99 A98
0 6 0 DEEEC.D...C.AA......HBBBGFH.I.GF..I. H97 E98 F97 C99 A98
0 6 0 DEEEC.D...C..AA....FHBBBGFH.I.G...I. H97 E98 F98 C99 A97
0 6 0 DEEEC.D...C...AA...FHBBBGFH.I.G...I. H97 E98 F98 C99 A96
0 6 0 DEEEC.D...C....AA..FHBBBGFH.I.G...I. H97 E98 F98 C99 A95
0 6 0 DEEEC.D...C.....AA.FHBBBGFH.I.G...I. H97 E98 F98 C99 A94
