3 3 0 CCCGG...BBB.AA..F.E.IIF.EDD.HH...... B99 E99 D99
3 3 0 CCCGG...BBB.AA..F...IIF.EDDHH.E..... B99 D99 H99
3 3 0 CCCGG....BBB.AA.F..II.F.E.DDHHE..... B98 A99 I99
3 3 0 CCCGG....BBB.AA.F.II..F.E.DDHHE..... B98 A99 I98
3 3 0 CCCGG....BBB.AA.F.E.IIF.E.DDHH...... B98 A99 E99
3 3 0 CCCGG....BBBEAA.F.E.IIF...DDHH...... B98 A99 E98
3 3 0 CCCGG.E..BBBEAA.F...IIF...DDHH...... B98 A99 E97
3 3 0 CCCGG....BBB.AA.F...IIF.EDD.HHE..... B98 A99 D99
3 3 0 CCCGG....BBB..AAF..II.F.E.DDHHE..... B98 A98 I99
3 3 0 CCCGG....BBB..AAF.II..F.E.DDHHE..... B98 A98 I98
3 3 0 CCCGG....BBB..AAF.E.IIF.E.DDHH...... B98 A98 E99
3 3 0 CCCGG....BBBE.AAF.E.IIF...DDHH...... B98 A98 E98
3 3 0 CCCGG.E..BBBE.AAF...IIF...DDHH...... B98 A98 E97
3 3 0 CCCGG....BBB..AAF...IIF.EDD.HHE..... B98 A98 D99
3 3 0 CCCGG....BBBAA..F.EII.F.E.DDHH...... B98 I99 E99
3 3 0 CCCGG....BBBAA..F..II.F.EDD.HHE..... B98 I99 D99
3 3 0 CCCGG....BBBAA..F.II..F.EDD.HHE..... B98 I98 D99
3 3 0 CCCGG....BBBAA..F.E.IIF.EDD.HH...... B98 E99 D99
3 3 0 CCCGG....BBBAA..F...IIF.EDDHH.E..... B98 D99 H99
3 3 0 CCCGG..BBBF..AA.F..II...E.DDHHE..... A99 F99 I99
3 3 0 CCCGG..BBBF..AA.F.II....E.DDHHE..... A99 F99 I98
3 3 0 CCCGG..BBBF..AA.F....II.E.DDHHE..... A99 F99 I99
3 3 0 CCCGG..BBBF..AA.F.....IIE.DDHHE..... A99 F99 I98
3 3 0 CCCGG..BBBF..AA.F.E.II..E.DDHH...... A99 F99 E99
3 3 0 CCCGG..BBBF.EAA.F.E.II....DDHH...... A99 F99 E98
3 3 0 CCCGG.EBBBF.EAA.F...II....DDHH...... A99 F99 E97
3 3 0 CCCGG..BBBF..AA.F...II..EDD.HHE..... A99 F99 D99
3 3 0 CCCGG..BBB...AA.F.EII.F.E.DDHH...... A99 I99 E99
3 3 0 CCCGG..BBB..EAA.F.EII.F...DDHH...... A99 I99 E98
3 3 0 CCCGG.EBBB..EAA.F..II.F...DDHH...... A99 I99 E97
3 3 0 CCCGG..BBB...AA.F..II.F.EDD.HHE..... A99 I99 D99
3 3 0 CCCGG..BBB...AA.F.II..F.EDD.HHE..... A99 I98 D99
3 3 0 CCCGG..BBB...AA.F.E.IIF.EDD.HH...... A99 E99 D99
3 3 0 CCCGG..BBB..EAA.F.E.IIF..DD.HH...... A99 E98 D99
3 3 0 CCCGG..BBB..EAA.F.E.IIF.DD..HH...... A99 E98 D98
3 3 0 CCCGG.EBBB..EAA.F.II..F...DDHH...... A99 I98 E97
3 3 0 CCCGG.EBBB..EAA.F...IIF..DD.HH...... A99 E97 D99
3 3 0 CCCGG.EBBB..EAA.F...IIF.DD..HH...... A99 E97 D98
3 3 0 CCCGG..BBB...AA.F...IIF.EDDHH.E..... A99 D99 H99
3 3 0 CCCGG..BBBF...AAF..II...E.DDHHE..... A98 F99 I99
3 3 0 CCCGG..BBBF...AAF.II....E.DDHHE..... A98 F99 I98
3 3 0 CCCGG..BBBF...AAF....II.E.DDHHE..... A98 F99 I99
3 3 0 CCCGG..BBBF...AAF.....IIE.DDHHE..... A98 F99 I98
